Functional SecurityRole Name,Description,SecurityRole,EmailId
ADMIN,Administrator,MISC,
ADMIN,Administrator,SECADMIN,
ADMINLTD,ADMINLTD,MISC,
ADMINLTD,ADMINLTD,SECADMIN,
AUDITOR,Auditor,APPOST,
AUDITOR,Auditor,AUDITOR,
AUDITOR,Auditor,FINVIEW,
AUDITOR,Auditor,MISC,
AUDITOR,Auditor,MSTRVIEW,
BASDEPMGR,BASDEPMGR,APPOST,
BASDEPMGR,BASDEPMGR,FINVIEW,
BASDEPMGR,BASDEPMGR,MISC,
EPRBUYER,EPRBUYER,PROCVIEW,
EPRBUYER,EPRBUYER,PURCH,
EPRVIEW,Procurement Viewers,PURCH,
EXTAUDIT,External Auditor,FINVIEW,
EXTAUDIT,External Auditor,MISC,
EXTAUDIT,External Auditor,MSTRVIEW,
FINAPARG2,Finance AP/AR/GL 2,APPOST,
FINAPARG2,Finance AP/AR/GL 2,AUDITOR,
FINAPARG2,Finance AP/AR/GL 2,FINVIEW,
FINAPARG2,Finance AP/AR/GL 2,MISC,
FINAPARG2,Finance AP/AR/GL 2,MSTRVIEW,
FINAPARGL,Finance AP/AR/GL,APPOST,
FINAPARGL,Finance AP/AR/GL,AUDITOR,
FINAPARGL,Finance AP/AR/GL,FINVIEW,
FINAPARGL,Finance AP/AR/GL,MISC,
FINAPARGL,Finance AP/AR/GL,MSTRVIEW,
FINAPG2,Finance Accounts Payable 2 AP/GL,APPOST,
FINAPG2,Finance Accounts Payable 2 AP/GL,AUDITOR,
FINAPG2,Finance Accounts Payable 2 AP/GL,FINVIEW,
FINAPG2,Finance Accounts Payable 2 AP/GL,MISC,
FINAPG2,Finance Accounts Payable 2 AP/GL,MSTRVIEW,
FINAPGL,Finance Accounts Payable/GL,APPOST,
FINAPGL,Finance Accounts Payable/GL,AUDITOR,
FINAPGL,Finance Accounts Payable/GL,FINVIEW,
FINAPGL,Finance Accounts Payable/GL,MISC,
FINAPGL,Finance Accounts Payable/GL,MSTRVIEW,
FINAPPROV,Finance Approvers,APPOST,
FINAPPROV,Finance Approvers,FINVIEW,
FINAPPROV,Finance Approvers,MISC,
FINARGL,Finance Accounts Receivable AR/GL,APPOST,
FINARGL,Finance Accounts Receivable AR/GL,AUDITOR,
FINARGL,Finance Accounts Receivable AR/GL,FINVIEW,
FINARGL,Finance Accounts Receivable AR/GL,MISC,
FINBUFAG2,FINBUFAG2,APPOST,
FINBUFAG2,FINBUFAG2,AUDITOR,
FINBUFAG2,FINBUFAG2,FINVIEW,
FINBUFAG2,FINBUFAG2,MISC,
FINBUFAG2,FINBUFAG2,MSTRVIEW,
FINBUFAG3,FINBUFAG3,FINVIEW,
FINBUFAG3,FINBUFAG3,MISC,
FINBUFAG3,FINBUFAG3,MSTRVIEW,
FINBUFAGL,Finance Budget/Fixed Asssets/AP/AR/GL,APPOST,
FINBUFAGL,Finance Budget/Fixed Asssets/AP/AR/GL,AUDITOR,
FINBUFAGL,Finance Budget/Fixed Asssets/AP/AR/GL,FAMAINT,
FINBUFAGL,Finance Budget/Fixed Asssets/AP/AR/GL,FINVIEW,
FINBUFAGL,Finance Budget/Fixed Asssets/AP/AR/GL,MISC,
FINBUFAGL,Finance Budget/Fixed Asssets/AP/AR/GL,MSTRVIEW,
FINBUREP,FINBUREP,FINVIEW,
FINBUREP,FINBUREP,GLPOST,
FINBUREP,FINBUREP,MISC,
FINGL,Finance Accounting GL,AUDITOR,
FINGL,Finance Accounting GL,FINVIEW,
FINGL,Finance Accounting GL,MISC,
FINGL,Finance Accounting GL,MSTRVIEW,
FINMRO,MRO Finance,APPOST,
FINMRO,MRO Finance,FINVIEW,
FINMRO,MRO Finance,MISC,
FINMRO,MRO Finance,MSTRDATA,
FINMRO,MRO Finance,MSTRVIEW,
FINSALUPD,FINSALUPD,APPOST,
FINSALUPD,FINSALUPD,GLPOST,
FINSALUPD,FINSALUPD,MISC,
FINSUPUSR,Finance Super User,APPOST,
